,Unnamed: 0,School,Living_Type,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
50,102094,University of South Alabama,Off-campus with family in-state(total),14086.0,14086.0,13208.0,12958.0,12802.0,12996.0,12720.0,11862.0,11166.0,9402.0,9416.0,8966.0,7972.0,7652.0,7452.0,7240.0,6624.0,6330.0
51,102094,University of South Alabama,Off-campus with family out-of-state(total),21982.0,21982.0,20720.0,20206.0,19834.0,19884.0,19368.0,18222.0,17070.0,14850.0,14756.0,13376.0,11992.0,11462.0,11262.0,10872.0,10014.0,9420.0
52,102368,Troy University,On-campus in-state(total),21778.0,20147.0,19815.0,19106.0,18933.0,18752.0,18228.0,17661.0,16862.0,16090.0,14835.0,14060.0,13432.0,12984.0,12745.0,12753.0,12347.0,11935.0
53,102368,Troy University,Off-campus with family in-district(total),16974.0,15520.0,15283.0,14616.0,14443.0,14382.0,13912.0,13411.0,12716.0,12032.0,10558.0,10184.0,9728.0,9161.0,9214.0,9238.0,8852.0,8526.0
54,102368,Troy University,Off-campus with family in-state(total),16974.0,15520.0,15283.0,14616.0,14443.0,14382.0,13912.0,13411.0,12716.0,12032.0,10558.0,10184.0,9728.0,9161.0,9214.0,9238.0,8852.0,8526.0
55,102368,Troy University,Off-campus with family out-of-state(total),24774.0,23320.0,22867.0,21840.0,21331.0,20910.0,20248.0,19387.0,18356.0,17216.0,15190.0,14432.0,13892.0,13165.0,13218.0,13088.0,12382.0,11746.0
80,104179,University of Arizona,On-campus in-state(total),30041.0,29217.0,28748.0,27189.0,25743.0,25157.0,25179.0,24729.0,23115.0,22380.0,20519.0,18290.0,17144.0,16552.0,15728.0,14892.0,14043.0,12710.0
81,104179,University of Arizona,Off-campus with family in-district(total),17011.0,16667.0,16448.0,15889.0,15903.0,15457.0,16335.0,15275.0,15195.0,14037.0,12871.0,10478.0,9774.0,9162.0,10578.0,10046.0,9463.0,8325.0
82,104179,University of Arizona,Off-campus with family in-state(total),16991.0,16667.0,16448.0,15889.0,15903.0,15457.0,16335.0,15275.0,15195.0,14037.0,12871.0,10478.0,9774.0,9162.0,10578.0,10046.0,9463.0,8325.0
83,104179,University of Arizona,Off-campus with family out-of-state(total),41018.0,40566.0,39878.0,39087.0,37130.0,33921.0,33327.0,31471.0,30654.0,30397.0,28280.0,23612.0,21008.0,19368.0,19762.0,19026.0,18233.0,16845.0
92,105330,Northern Arizona University,On-campus in-state(total),28150.0,27266.0,26923.0,26486.0,25340.0,24820.0,22746.0,22974.0,22730.0,21154.0,19755.0,17317.0,16096.0,15234.0,14615.0,13663.0,12934.0,11745.0
93,105330,Northern Arizona University,Off-campus with family in-district(total),17616.0,17204.0,17199.0,16834.0,16428.0,16028.0,13892.0,13896.0,14256.0,13082.0,11892.0,9513.0,8552.0,8038.0,7756.0,7369.0,6706.0,5747.0
94,105330,Northern Arizona University,Off-campus with family in-state(total),17616.0,17204.0,17199.0,16834.0,16428.0,16028.0,13892.0,13896.0,14256.0,13082.0,11892.0,9513.0,8552.0,8038.0,7756.0,7369.0,6706.0,5747.0
95,105330,Northern Arizona University,Off-campus with family out-of-state(total),32236.0,31468.0,30981.0,30214.0,29418.0,28548.0,26247.0,26248.0,26612.0,13082.0,23118.0,20610.0,18386.0,16978.0,16386.0,16249.0,15226.0,14267.0
96,106245,University of Arkansas at Little Rock,On-campus in-state(total),24230.0,24073.0,23256.0,23158.0,22593.0,21896.0,23191.0,21997.0,20157.0,18251.0,17549.0,17185.0,20885.0,16411.0,15993.0,14285.0,13622.0,13325.0
97,106245,University of Arkansas at Little Rock,Off-campus with family in-district(total),16714.0,16942.0,15325.0,14989.0,14160.0,13724.0,14190.0,13612.0,12835.0,12005.0,11498.0,11194.0,12396.0,11611.0,11343.0,11335.0,10922.0,10625.0
98,106245,University of Arkansas at Little Rock,Off-campus with family in-state(total),16714.0,16942.0,15325.0,14989.0,14160.0,13724.0,14190.0,13612.0,12835.0,12005.0,11498.0,11194.0,12396.0,11611.0,11343.0,11335.0,10922.0,10625.0
99,106245,University of Arkansas at Little Rock,Off-campus with family out-of-state(total),28924.0,29152.0,27535.0,26427.0,24492.0,24056.0,23967.0,22824.0,21711.0,20952.0,19958.0,20007.0,19888.0,18826.0,18213.0,16442.0,15680.0,14594.0
100,106397,University of Arkansas,On-campus in-state(total),26144.0,25500.0,24916.0,24302.0,23506.0,23066.0,22212.0,21472.0,20464.0,19490.0,18316.0,18462.0,17159.0,16398.0,15787.0,14856.0,13048.0,12418.0
101,106397,University of Arkansas,Off-campus with family in-district(total),14814.0,14480.0,14212.0,13970.0,13626.0,13612.0,13170.0,12800.0,12134.0,11448.0,10509.0,11040.0,7004.0,6764.0,6418.0,6027.0,5619.0,7608.0
102,106397,University of Arkansas,Off-campus with family in-state(total),14814.0,14480.0,14212.0,13970.0,13626.0,13612.0,13170.0,12800.0,12134.0,11448.0,10509.0,11040.0,7004.0,6764.0,6418.0,6027.0,5619.0,7608.0
103,106397,University of Arkansas,Off-campus with family out-of-state(total),31302.0,30518.0,29458.0,28318.0,26930.0,25702.0,24426.0,23680.0,22566.0,20680.0,19387.0,19918.0,15458.0,14898.0,14145.0,13317.0,12369.0,13980.0
104,106412,University of Arkansas at Pine Bluff,On-campus in-state(total),21264.0,20790.0,19486.0,18118.0,17650.0,17156.0,16882.0,16562.0,17285.0,16541.0,16104.0,15576.0,15697.0,15622.0,15422.0,14164.0,12875.0,11950.0
105,106412,University of Arkansas at Pine Bluff,Off-campus with family in-district(total),13822.0,13518.0,12806.0,11786.0,11420.0,10426.0,10152.0,9902.0,10575.0,10173.0,9936.0,9476.0,9527.0,9074.0,8674.0,7864.0,7932.0,7703.0
106,106412,University of Arkansas at Pine Bluff,Off-campus with family in-state(total),13822.0,13518.0,12806.0,11786.0,11420.0,10426.0,10152.0,9902.0,10575.0,10173.0,9936.0,9476.0,9527.0,9074.0,8674.0,7864.0,7932.0,7703.0
107,106412,University of Arkansas at Pine Bluff,Off-campus with family out-of-state(total),20482.0,19878.0,19136.0,17876.0,17150.0,16156.0,15852.0,15302.0,15879.0,15123.0,14616.0,14036.0,13937.0,13484.0,12859.0,11839.0,11682.0,11234.0
120,106704,University of Central Arkansas,On-campus in-state(total),23903.0,22563.0,21854.0,21143.0,20542.0,20120.0,18596.0,18054.0,18220.0,18498.0,18038.0,17705.0,16816.0,16341.0,15995.0,13428.0,12876.0,12106.0
121,106704,University of Central Arkansas,Off-campus with family in-district(total),16705.0,15709.0,15336.0,14895.0,14560.0,14342.0,13046.0,12784.0,13040.0,13468.0,13158.0,12965.0,7205.0,7010.0,6664.0,6053.0,8960.0,8386.0
122,106704,University of Central Arkansas,Off-campus with family in-state(total),16705.0,15709.0,15336.0,14895.0,14560.0,14342.0,13046.0,12784.0,13040.0,13468.0,13158.0,12965.0,7205.0,7010.0,6664.0,6053.0,8960.0,8386.0
123,106704,University of Central Arkansas,Off-campus with family out-of-state(total),23515.0,22232.0,21859.0,21118.0,20477.0,20259.0,18791.0,18281.0,18426.0,18703.0,18363.0,18065.0,12035.0,11705.0,11164.0,9609.0,12272.0,11698.0
152,110422,California Polytechnic State University-San Luis Obispo,On-campus in-state(total),28927.0,28302.0,27153.0,26076.0,25414.0,24683.0,24285.0,23890.0,23478.0,21564.0,21249.0,19117.0,17901.0,17042.0,16530.0,15846.0,14803.0,13704.0
153,110422,California Polytechnic State University-San Luis Obispo,Off-campus with family in-district(total),14719.0,14532.0,14019.0,13569.0,13405.0,13235.0,13122.0,14072.0,13002.0,11493.0,11403.0,9748.0,9108.0,8612.0,8385.0,7907.0,7324.0,6585.0
154,110422,California Polytechnic State University-San Luis Obispo,Off-campus with family in-state(total),14719.0,14532.0,14019.0,13569.0,13405.0,13235.0,13122.0,14072.0,13002.0,11493.0,11403.0,9748.0,9108.0,8612.0,8385.0,7907.0,7324.0,6585.0
155,110422,California Polytechnic State University-San Luis Obispo,Off-campus with family out-of-state(total),28609.0,26412.0,25899.0,24729.0,24565.0,24395.0,24282.0,25232.0,24162.0,22653.0,22563.0,19918.0,19278.0,18782.0,18555.0,18077.0,15784.0,15045.0
160,110486,California State University-Bakersfield,On-campus in-state(total),25031.0,26009.0,25966.0,25577.0,24004.0,22299.0,21186.0,21652.0,20383.0,17983.0,17001.0,15891.0,15120.0,14308.0,13746.0,12520.0,12043.0,11205.0
161,110486,California State University-Bakersfield,Off-campus with family in-district(total),12802.0,12377.0,12110.0,11719.0,11548.0,11478.0,11397.0,12565.0,12262.0,10684.0,10248.0,8952.0,8421.0,7934.0,7626.0,6778.0,6454.0,5890.0
162,110486,California State University-Bakersfield,Off-campus with family in-state(total),12802.0,12377.0,12110.0,11719.0,11548.0,11478.0,11397.0,12565.0,12262.0,10684.0,10248.0,8952.0,8421.0,7934.0,7626.0,6778.0,6454.0,5890.0
163,110486,California State University-Bakersfield,Off-campus with family out-of-state(total),24682.0,24257.0,23990.0,22879.0,22708.0,22638.0,22557.0,23725.0,23422.0,21844.0,21408.0,19122.0,18591.0,18104.0,17796.0,16948.0,14914.0,14350.0
184,110556,California State University-Fresno,On-campus in-state(total),21716.0,21418.0,20431.0,19745.0,19493.0,20930.0,20682.0,20756.0,21069.0,20799.0,18444.0,16257.0,14935.0,14219.0,13896.0,13328.0,12706.0,11522.0
185,110556,California State University-Fresno,Off-campus with family in-district(total),11399.0,11093.0,10987.0,10629.0,10663.0,10606.0,10515.0,10926.0,11009.0,9355.0,9242.0,8105.0,7245.0,6843.0,6878.0,6518.0,5902.0,5156.0
186,110556,California State University-Fresno,Off-campus with family in-state(total),11399.0,11093.0,10987.0,10629.0,10663.0,10606.0,10515.0,10926.0,11009.0,9355.0,9242.0,8105.0,7245.0,6843.0,6878.0,6518.0,5902.0,5156.0
187,110556,California State University-Fresno,Off-campus with family out-of-state(total),23279.0,22973.0,22867.0,21789.0,21823.0,21766.0,21675.0,22086.0,22169.0,20515.0,20402.0,18275.0,17415.0,17013.0,17048.0,16688.0,14362.0,13616.0
188,110565,California State University-Fullerton,On-campus in-state(total),28043.0,27738.0,27342.0,26654.0,25643.0,24385.0,23505.0,23755.0,22220.0,20010.0,19182.0,17740.0,15418.0,14816.0,14664.0,13774.0,13284.0,12186.0
189,110565,California State University-Fullerton,Off-campus with family in-district(total),12265.0,11912.0,11772.0,11382.0,11139.0,10975.0,10809.0,12315.0,12020.0,10478.0,10200.0,9118.0,7996.0,7626.0,7606.0,7406.0,6918.0,6195.0
190,110565,California State University-Fullerton,Off-campus with family in-state(total),12265.0,11912.0,11772.0,11382.0,11139.0,10975.0,10809.0,12315.0,12020.0,10478.0,10200.0,9118.0,7996.0,7626.0,7606.0,7406.0,6918.0,6195.0
191,110565,California State University-Fullerton,Off-campus with family out-of-state(total),24145.0,23792.0,23652.0,22542.0,22299.0,22135.0,21969.0,23475.0,23180.0,21638.0,21160.0,19288.0,18166.0,17796.0,17776.0,17576.0,15378.0,14655.0
196,110583,California State University-Long Beach,On-campus in-state(total),25258.0,24738.0,24066.0,23610.0,22964.0,22724.0,22106.0,23090.0,23008.0,20675.0,20052.0,16072.0,15118.0,13810.0,13354.0,12708.0,11716.0,11052.0
197,110583,California State University-Long Beach,Off-campus with family in-district(total),12216.0,11866.0,11694.0,11322.0,11190.0,11142.0,10860.0,12060.0,12048.0,9839.0,9426.0,8336.0,7780.0,7356.0,7140.0,6866.0,6430.0,5842.0
198,110583,California State University-Long Beach,Off-campus with family in-state(total),12216.0,11866.0,11694.0,11322.0,11190.0,11142.0,10860.0,12060.0,12048.0,9839.0,9426.0,8336.0,7780.0,7356.0,7140.0,6866.0,6430.0,5842.0
199,110583,California State University-Long Beach,Off-campus with family out-of-state(total),24096.0,23746.0,23574.0,22482.0,22350.0,22302.0,22020.0,23220.0,23208.0,20999.0,20586.0,18506.0,17950.0,17526.0,17310.0,17036.0,14890.0,14302.0
204,110608,California State University-Northridge,On-campus in-state(total),23645.0,22969.0,22127.0,20489.0,21163.0,22110.0,21669.0,25150.0,24880.0,22931.0,21449.0,19332.0,17722.0,17374.0,16792.0,15548.0,14414.0,13402.0
205,110608,California State University-Northridge,Off-campus with family in-district(total),12359.0,11961.0,11837.0,11151.0,11305.0,11233.0,11145.0,12822.0,12884.0,10737.0,10825.0,9576.0,8508.0,8046.0,7912.0,7332.0,6449.0,5702.0
206,110608,California State University-Northridge,Off-campus with family in-state(total),12359.0,11961.0,11837.0,11151.0,11305.0,11233.0,11145.0,13030.0,12884.0,10737.0,10825.0,9576.0,8508.0,8046.0,7912.0,7332.0,6449.0,5702.0
207,110608,California State University-Northridge,Off-campus with family out-of-state(total),24239.0,23841.0,23717.0,22311.0,22465.0,22393.0,22305.0,23982.0,24044.0,21897.0,21985.0,19746.0,18678.0,18216.0,18082.0,17502.0,14909.0,14162.0
208,110617,California State University-Sacramento,On-campus in-state(total),27130.0,26454.0,25742.0,24862.0,24352.0,23324.0,23209.0,23746.0,23427.0,21773.0,21478.0,20134.0,18150.0,16558.0,15479.0,14569.0,13675.0,12462.0
209,110617,California State University-Sacramento,Off-campus with family in-district(total),12176.0,11816.0,11606.0,11216.0,11162.0,10894.0,11120.0,12494.0,12373.0,10893.0,10598.0,9366.0,8552.0,8040.0,7594.0,7224.0,6582.0,5787.0
210,110617,California State University-Sacramento,Off-campus with family in-state(total),12176.0,11816.0,11606.0,11216.0,11162.0,10894.0,11120.0,12494.0,12373.0,10893.0,10598.0,9366.0,8552.0,8040.0,7594.0,7224.0,6582.0,5787.0
211,110617,California State University-Sacramento,Off-campus with family out-of-state(total),24056.0,23696.0,23486.0,22376.0,22322.0,22054.0,22280.0,23654.0,23533.0,22053.0,21758.0,19536.0,18722.0,18210.0,17764.0,17394.0,15042.0,14247.0
212,110635,University of California-Berkeley,On-campus in-state(total),39376.0,38066.0,36989.0,35964.0,35255.0,34356.0,33319.0,32888.0,32632.0,31054.0,28897.0,26586.0,24957.0,23126.0,22310.0,20764.0,19458.0,17812.0
213,110635,University of California-Berkeley,Off-campus with family in-district(total),28148.0,27474.0,26799.0,25998.0,25643.0,24685.0,24091.0,23769.0,23492.0,21959.0,19718.0,18008.0,17231.0,11446.0,11088.0,10436.0,9202.0,8120.0
214,110635,University of California-Berkeley,Off-campus with family in-state(total),28148.0,27474.0,26799.0,25998.0,25643.0,24685.0,24091.0,23769.0,23492.0,21959.0,19718.0,18008.0,17231.0,11446.0,11088.0,10436.0,9202.0,8120.0
215,110635,University of California-Berkeley,Off-campus with family out-of-state(total),57902.0,56466.0,54813.0,52680.0,50351.0,47563.0,46969.0,46647.0,46370.0,44838.0,42435.0,38616.0,36851.0,30130.0,28537.0,27392.0,23412.0,20499.0
216,110644,University of California-Davis,On-campus in-state(total),35935.0,35177.0,35729.0,34967.0,34377.0,33759.0,33066.0,32168.0,31199.0,29297.0,27006.0,25015.0,23924.0,22496.0,21743.0,20610.0,18664.0,16766.0
217,110644,University of California-Davis,Off-campus with family in-district(total),28013.0,27271.0,27057.0,26554.0,26033.0,25604.0,25266.0,24759.0,24542.0,22903.0,20657.0,18840.0,18040.0,12671.0,12321.0,11696.0,9976.0,8694.0
218,110644,University of California-Davis,Off-campus with family in-state(total),28013.0,27271.0,27057.0,26554.0,26033.0,25604.0,25266.0,24759.0,24542.0,22903.0,20657.0,18840.0,18040.0,12671.0,12321.0,11696.0,9976.0,8694.0
219,110644,University of California-Davis,Off-campus with family out-of-state(total),57767.0,56263.0,55071.0,53236.0,50741.0,48482.0,48144.0,47637.0,47420.0,45782.0,43374.0,39448.0,37660.0,31355.0,30141.0,28652.0,24186.0,21073.0
220,110653,University of California-Irvine,On-campus in-state(total),35363.0,34261.0,33858.0,32930.0,32102.0,31577.0,30504.0,29634.0,29425.0,28065.0,25413.0,23846.0,23052.0,21138.0,20270.0,19313.0,17643.0,17148.0
221,110653,University of California-Irvine,Off-campus with family in-district(total),26750.0,26266.0,25999.0,25416.0,24889.0,24603.0,24078.0,23513.0,23353.0,21804.0,19798.0,18181.0,17519.0,12208.0,11938.0,11372.0,10545.0,9463.0
222,110653,University of California-Irvine,Off-campus with family in-state(total),26750.0,26266.0,25999.0,25416.0,24889.0,24603.0,24078.0,23513.0,23353.0,21804.0,19798.0,18181.0,17519.0,12208.0,11938.0,11372.0,10545.0,9463.0
223,110653,University of California-Irvine,Off-campus with family out-of-state(total),56504.0,55258.0,54013.0,52098.0,49597.0,47481.0,46956.0,46391.0,46231.0,44683.0,42515.0,38789.0,37139.0,30892.0,29758.0,28328.0,24755.0,21842.0
224,110662,University of California-Los Angeles,On-campus in-state(total),35793.0,34620.0,33901.0,34056.0,33391.0,32978.0,32416.0,31932.0,31556.0,29620.0,27202.0,25134.0,23977.0,22774.0,22095.0,20799.0,19302.0,17314.0
225,110662,University of California-Los Angeles,Off-campus with family in-district(total),26959.0,26349.0,25735.0,25321.0,24703.0,24535.0,23750.0,23431.0,23250.0,21589.0,19509.0,17670.0,16835.0,11913.0,11652.0,11065.0,10182.0,9109.0
226,110662,University of California-Los Angeles,Off-campus with family in-state(total),26959.0,26349.0,25735.0,25321.0,24703.0,24535.0,23750.0,23431.0,23250.0,21589.0,19509.0,17670.0,16835.0,11913.0,11652.0,11065.0,10182.0,9109.0
227,110662,University of California-Los Angeles,Off-campus with family out-of-state(total),56713.0,55341.0,53749.0,52003.0,49411.0,47413.0,46628.0,46309.0,46128.0,44468.0,42226.0,38278.0,36455.0,30597.0,29472.0,28021.0,24392.0,21488.0
228,110671,University of California-Riverside,On-campus in-state(total),35387.0,35242.0,34663.0,34391.0,33485.0,32639.0,32238.0,31597.0,30335.0,28380.0,25607.0,24070.0,23640.0,21490.0,21390.0,20433.0,18983.0,17200.0
229,110671,University of California-Riverside,Off-campus with family in-district(total),26801.0,26483.0,26116.0,25541.0,25261.0,24765.0,23793.0,23365.0,23204.0,21676.0,19579.0,17970.0,17380.0,12090.0,11690.0,11233.0,10033.0,8900.0
230,110671,University of California-Riverside,Off-campus with family in-state(total),26801.0,26483.0,26116.0,25541.0,25261.0,24765.0,23793.0,23365.0,23204.0,21676.0,19579.0,17970.0,17380.0,12090.0,11690.0,11233.0,10033.0,8900.0
231,110671,University of California-Riverside,Off-campus with family out-of-state(total),56555.0,55475.0,54130.0,52223.0,49969.0,47643.0,46671.0,46243.0,46082.0,44555.0,42296.0,38578.0,37000.0,30774.0,29510.0,28189.0,24243.0,21279.0
236,110705,University of California-Santa Barbara,On-campus in-state(total),36765.0,36659.0,36111.0,35172.0,35203.0,34753.0,34051.0,32067.0,31691.0,30341.0,27869.0,26453.0,24987.0,22599.0,21786.0,20534.0,18616.0,16693.0
237,110705,University of California-Santa Barbara,Off-campus with family in-district(total),28851.0,28355.0,28044.0,27269.0,26534.0,26119.0,25591.0,24393.0,24132.0,22525.0,20315.0,18850.0,17934.0,11950.0,11684.0,11131.0,9680.0,8303.0
